200, 0.35, 1.23, 2.15
200, 0.68, 1.76, 2.54
200, 0.44, 1.18, 2.14
200, 0.41, 1.28, 2.09
200, 0.30, 1.16, 1.86
200, 0.54, 1.54, 2.31
200, 0.68, 1.61, 2.44
200, 0.54, 1.50, 2.32
180, 0.54, 1.33, 2.15
180, 0.68, 1.49, 2.21
180, 0.35, 1.22, 1.99
180, 0.61, 1.55, 2.28
170, 0.28, 1.08, 1.85
160, 0.28, 1.16, 1.91
160, -, 1.03, 1.88
160, 0.41, 1.28, 1.95
160, 0.41, 1.24, 1.96
160, 0.41, 1.35, 1.98
140, 0.41, 1.27, 1.96
140, 0.28, 1.08, 1.81
140, 0.47, 1.01, 1.77
140, 0.6, 1.24, 1.92
140, 0.61, 1.32, 1.97
120, 0.54, 1.22, 1.78
120, 0.35, 1.15, 1.73
120, 0.28, 1.09, 1.76
120, -, 0.94, 1.59
120, 0.27, 1.01, 1.54
100, 0.41, 0.93, 1.43
100, 0.55, 1.16, 1.68
100, 0.47, -, -
100, 0.27, 1.07, 1.69
100, -, 0.96, 1.55
100, 0.21, 1, 1.52
90, 0.1, 0.89, 1.46
80, 0.28, 0.95, 1.45
80, 0.22, 0.78, -
80, 0.47, 1.02, 1.54
60, 0.21, 0.60, 1.07
60, 0.14, 0.76, 1.27
60, 0.21, 0.79, 1.24
60, 0.35, 0.8, 1.26
60, 0.48, 1.09, 1.48
60, 0.08, 0.62, 1
40, 0.21, 0.75, 1.08
40, -, 0.67, 0.95
20, 0.28, 0.82, -
20, 0.14, 0.56, 0.98
20, 0.21, 0.77, -
10, 0.2, -, -
